gen,random best,genetic best
1,3,3
2,3,3
3,3,3
4,3,3
5,3,3
6,3,3
7,2,3
8,2,3
9,3,3
10,3,3
11,2,2
12,3,3
13,2,3
14,2,3
15,3,3
16,3,3
17,4,3
18,3,3
19,3,4
20,3,4
21,3,3
22,3,3
23,3,3
24,3,3
25,2,3
26,2,4
27,3,3
28,3,3
29,3,3
30,2,3
31,3,3
32,2,4
33,3,4
34,3,3
35,3,3
36,3,4
37,3,4
38,3,4
39,2,4
40,3,3
41,2,4
42,3,3
43,2,3
44,2,3
45,3,4
46,3,3
47,2,4
48,3,4
49,3,3
50,3,4
51,3,4
52,2,5
53,2,4
54,3,4
55,2,5
56,2,3
57,3,3
58,3,4
59,3,3
60,2,4
61,2,3
62,2,4
63,3,4
64,2,3
65,2,3
66,3,3
67,3,3
68,3,4
69,3,3
70,3,4
71,3,3
72,3,4
73,2,4
74,3,3
75,3,3
76,3,4
77,2,5
78,2,4
79,3,3
80,3,5
